tick	antikeeper	attacker	builder	claimer	harvester	healer	longbuilder	longharvester	longminer	miner	shortminer	upgrader
17168954	0	0	0,31	0,32	0,56	0	0,46	0,40	0,52	0,41	0,40	0,34
17169054	0	0	0,31	0,67	0,55	0	0,45	0,88	0,56	0,51	0,25	0,33
17169473	0	0	0,51	0,84	0,64	0	0,44	0,48	0,49	0,35	0,24	0,29
17169573	0	0	0,65	0,27	0,50	0	0,34	0,66	0,44	0,34	0,18	0,33
17169674	0	0	0,26	0,66	0,67	0	0,09	0,55	0,48	0,42	0,23	0,36
17169774	0	0	0,37	0,32	0,55	0	0,39	0,64	0,43	0,36	0,19	0,24
17169874	0	0	0,41	0,24	0,51	0	0,43	0,69	0,46	0,46	0,20	0,31
17169974	0	0	0,56	0,33	0,55	0	0,45	0,52	0,47	0,45	0,23	0,39
17170074	0	0	0,51	0,51	0,52	0	0,54	0,63	0,43	0,34	0,22	0,34
17170174	0	0	0,47	0,44	0,58	0	0,45	0,59	0,43	0,46	0,20	0,28
17170274	0	0	0,30	0,25	0,56	0	0,48	0,71	0,50	0,42	0,22	0,38
17170374	0	0	0,64	0,47	0,60	0	0,39	0,92	0,47	0,35	0,17	0,29
17170474	0	0	0,50	0,70	0,61	0	0,39	1,51	0,46	0,46	0,20	0,27
17170574	0	0	0,47	0,31	0,39	0	0,35	1,29	0,51	0,40	0,39	0,28
17170674	0	0	0,67	0,47	0,51	0	0,39	1,37	0,46	0,38	0,22	0,29
17170774	0	0	0,66	0,44	0,52	0	0,37	1,18	0,46	0,47	0,17	0,27
17170874	0	0	0,31	0,28	0,51	0	0,45	1,23	0,43	0,31	0,18	0,34
17170974	0	0	0,50	0,34	0,62	0	0,36	1,27	0,48	0,35	0,22	0,39
17171074	0	0	0,59	0,71	0,60	0	0,54	1,31	0,46	0,36	0,24	0,25
17171174	0	0	0,41	0,50	0,37	0	0,41	1,28	0,47	0,50	0,22	0,29
17171274	0	0	0,57	0,28	0,57	0	0,36	1,18	0,38	0,43	0,22	0,28
17171374	0	0	0,45	0,63	0,45	0	0,52	0,44	0,48	0,48	0,20	0,30
17171474	0	0	0,24	0,42	0,49	0	0,41	0,75	0,47	0,41	0,21	0,31
17171574	0	0	0,52	0,27	0,51	0	0,43	0,42	0,62	0,46	0,23	0,31
17171674	0	0	0,57	0,29	0,50	0	0,35	0,54	0,47	0,48	0,46	0,28
17171774	0	0	0,72	0,23	0,50	0	0,48	0,47	0,51	0,42	0,28	0,24
17171874	0	0	0,66	0,71	0,54	0	0,47	0,51	0,51	0,44	0,21	0,29
17171974	0	0	0,52	0,43	0,44	0	0,44	0,54	0,49	0,43	0,20	0,35
17172074	0	0	0,64	0,26	0,53	0	0,41	0,49	0,55	0,54	0,19	0,28
17172174	0	0	0,39	0,26	0,52	0	0,44	0,35	0,51	0,49	0,19	0,38
17172274	0	0	0,61	0,90	0,41	0	0,45	0,39	0,53	0,38	0,27	0,27
17172374	0	0	0,47	0,40	0,56	0	0,46	0,52	0,52	0,49	0,21	0,28
17172474	0	0	0,63	0,23	0,44	0	0,54	0,40	0,51	0,41	0,16	0,30
17172574	0	0	0,49	0,77	0,64	0	0,45	0,41	0,45	0,44	0,23	0,29
17172674	0	0	0,46	0,36	0,51	0	0,44	0,37	0,47	0,49	0,20	0,31
17172774	0	0	0,49	0,25	0,54	0	0,42	0,45	0,47	0,41	0,18	0,26
17172874	0	0	0,31	0,82	0,41	0	0,39	0,33	0,50	0,49	0,23	0,43
17172974	0	0	0,60	0,43	0,55	0	0,38	0,39	0,49	0,51	0,30	0,29
17173074	0	0	0,27	0,29	0,47	0	0,50	0,50	0,51	0,50	0,20	0,29
17173174	0	0	0,56	0,44	0,66	0	0,42	0,59	0,51	0,46	0,23	0,31
17173274	0	0	0,61	0,63	0,45	0	0,31	0,37	0,56	0,43	0,29	0,35
17173374	0	0	0,73	0,51	0,61	0	0,34	0,41	0,49	0,48	0,20	0,27
17173475	0	0	0,41	0,55	0,54	0	0,49	0,59	0,51	0,51	0,21	0,29
17173575	0	0	0,55	0,28	0,43	0	0,42	0,55	0,51	0,45	0,20	0,31
17173675	0	0	0,28	0,72	0,48	0	0,51	0,56	0,51	0,34	0,19	0,31
17173775	0	0	0,36	0,40	0,47	0	0,45	0,39	0,54	0,39	0,25	0,33
17173874	0	0	0,56	0,33	0,53	0	0,41	0,49	0,45	0,48	0,22	0,30
17173974	0	0	0,76	0,62	0,64	0	0,49	0,56	0,51	0,47	0,27	0,28
17174074	0	0	0,45	0,29	0,65	0	0,47	0,44	0,51	0,43	0,26	0,31
17174174	0	0	0,43	0,32	0,60	0	0,46	0,47	0,50	0,54	0,26	0,31
17174274	0	0	0,35	0,65	0,61	0	0,45	0,37	0,54	0,51	0,27	0,31
17174374	0	0	0,83	0,31	0,51	0	0,42	0,43	0,51	0,48	0,17	0,35
17174474	0	0	0,31	0,31	0,59	0	0,60	0,61	0,50	0,47	0,17	0,32
17174574	0	0	0,40	0,24	0,58	0	0,56	0,60	0,51	0,50	0,20	0,29
17174675	0	0	0,41	0,50	0,56	0	0,47	0,46	0,51	0,46	0,26	0,32
17174775	0	0	0,33	0,57	0,45	0	0,45	0,60	0,60	0,46	0,23	0,27
17174875	0	0	0,34	0,23	0,65	0	0,43	0,47	0,59	0,44	0,21	0,29
17174975	0	0	0,32	0,33	0,47	0	0,47	0,49	0,52	0,37	0,23	0,24
17175075	0	0	0,26	0,64	0,52	0	0,39	0,42	0,56	0,38	0,23	0,25
17175175	0	0	0,25	0,28	0,39	0	0,39	0,62	0,51	0,29	0,19	0,22
17175275	0	0	0,36	0,28	0,52	0	0,30	0,58	0,53	0,42	0,21	0,30
17175375	0	0	0,34	0,23	0,54	0	0,44	0,42	0,51	0,52	0,30	0,34
17175475	0	0	0,30	0,30	0,48	0	0,33	0,41	0,63	0,38	0,18	0,35
17175575	0	0	0,32	0,86	0,44	0	0,55	0,32	0,52	0,48	0,22	0,29
17175675	0	0	0,33	0,23	0,47	0	0,49	0,28	0,45	0,50	0,19	0,31
17175775	0	0	0,25	0,24	0,41	0	0,42	0,30	0,48	0,43	0,16	0,25
17175875	0	0	0,29	0,23	0,43	0	0,37	0,30	0,47	0,44	0,20	0,30
17175975	0	0	0,35	0,24	0,58	0	0,40	0,31	0,49	0,47	0,16	0,27
17176075	0	0	0,44	0,24	0,49	0	0,33	0,38	0,53	0,46	0,20	0,22
17176175	0	0	0,30	0	0,38	0	0,44	0,35	0,47	0,46	0,30	0,30
17176275	0	0	0,45	0	0,47	0	0,44	0,42	0,42	0,40	0,22	0,27
17176375	0	0	0,43	0	0,41	0	0,44	0,35	0,30	0,35	0,22	0,25
17176475	0	0	0,31	0	0,44	0	0,58	0,36	0,36	0,44	0,24	0,24
17176575	0	0	0,33	0	0,37	0	0,39	0,47	0,32	0,47	0,27	0,25
17176675	0	0	0,39	0,94	0,52	0	0,35	0,38	0,31	0,44	0,81	0,31
17176775	0	0	0,20	0,46	0,48	0	0,48	0,31	0,33	0,50	0,23	0,39
17176875	0	0	0,17	0,26	0,50	0	0,48	0,30	0,29	0,50	0,22	0,36
17176975	0	0	0,19	0,31	0,50	0	0,50	0,36	0,09	0,52	0,23	0,34
17177075	0	0	0,17	0,48	0,45	0	0,57	0,34	0,08	0,49	0,27	0,31
17177175	0	0	0,16	0,34	0,50	0	0,34	0,31	0	0,45	0,23	0,31
17177275	0	0	0,17	0,43	0,51	0	0,31	0,38	0	0,46	0,23	0,23
17177375	0	0	0,18	0,38	0,37	0	0	0,47	0	0,53	0,25	0,27
17177475	0	0	0,17	0,24	0,46	0	0	0,40	0	0,49	0,26	0,43
17177575	0	0	0,18	0,25	0,57	0	0	0,36	0	0,47	0,19	0,37
17177675	0	0	0,20	0,42	0,35	0	0	0,37	0	0,39	0,19	0,24
17177775	0	0	0,23	0,25	0,48	0	0	0,35	0	0,46	0,24	0,34
17177875	0	0	0,24	0,26	0,54	0	0	0,54	0	0,42	0,15	0,26
17177975	0	0	0,28	0,51	0,49	0	0	0,34	0	0,51	0,17	0,35
17178075	0	0	0,28	0,35	0,50	0	0	0,53	0	0,50	0,17	0,29
17178175	0	0	0,31	0,36	0,48	0	0	0,39	0	0,48	0,23	0,31
17178275	0	0	0,36	0,24	0,52	0	0	0,41	0	0,50	0,30	0,31
17178375	0	0	0,29	0,25	0,50	0	0	0,38	0	0,50	0,26	0,38
17178475	0	0	0,23	0,67	0,38	0	0	0,40	0	0,45	0,21	0,28
17178575	0	0	0,28	0,56	0,53	0	0	0,41	0,49	0,45	0,26	0,28
17178675	0	0	0,28	0,24	0,49	0	0	0,35	0,41	0,52	0,32	0,29
17178775	0	0	0,24	0,24	0,55	0	0	0,79	0,22	0,48	0,25	0,27
17178875	0	0	0,32	0,23	0,49	0	0	0,54	0,16	0,46	0,27	0,31
17178975	0	0	0,31	0,79	0,50	0	0	0,85	0,13	0,42	0,29	0,33
17179075	0	0	0,10	0,61	0,36	0	0	0,51	0,19	0,36	0,30	0,27
17179175	0	0	0,30	0,27	0,58	0	0	0,76	0,26	0,48	0,23	0,29
17179275	0	0	0,26	0,32	0,42	0	0,91	0,59	0,29	0,46	0,23	0,29
17179375	0	0	0,23	0,83	0,51	0	0,67	0,60	0,38	0,47	0,23	0,31
17179475	0	0	0,21	0,38	0,58	0	0,52	0,73	0,37	0,48	0,29	0,32
17179574	0	0	0,38	0,67	0,46	0	0,60	0,73	0,37	0,48	0,26	0,29
17179674	0	0	0,29	0,56	0,79	0	0,77	0,60	0,42	0,52	0,27	0,31
17179774	0	0	0,29	0,39	0,62	0	0,98	0,53	0,42	0,49	0,30	0,31
17179874	0	0	0,26	0,58	0,57	0	0,62	0,51	0,43	0,43	0,34	0,30
17179974	0	0	0,26	0,70	0,54	0	0,42	0,53	0,43	0,46	0,25	0,30
17180075	0	0	0,27	0,28	0,45	0	0,47	0,50	0,40	0,54	0,24	0,28
17180175	0	0	0,26	0,57	0,62	0	0,52	0,48	0,47	0,45	0,34	0,28
17180275	0	0	0,42	0,33	0,53	0	0,52	0,51	0,48	0,44	0,24	0,30
17180375	0	0	0,36	0,45	0,50	0	0,39	0,62	0,57	0,38	0,24	0,31
17180475	0	0	0,32	0,26	0,56	0	0,39	0,51	0,52	0,47	0,32	0,34
17180575	0	0	0,28	0,35	0,66	0	0,37	0,48	0,47	0,47	0,23	0,28
17180675	0	0	0,20	0,56	0,54	0	0,37	0,39	0,50	0,54	0,24	0,32
17180775	0	0	0,26	0,68	0,65	0	0,38	0,49	0,48	0,56	0,24	0,30
17180875	0	0	0,22	0,29	0,64	0	0,41	0,40	0,50	0,49	0,23	0,28
17180975	0	0	0,22	0,32	0,56	0	0,48	0,37	0,49	0,48	0,22	0,29
17181075	0	0	0,26	0,96	0,57	0	0,44	0,51	0,49	0,49	0,24	0,30
17181175	0	0	0,22	0,47	0,42	0	0,47	0,43	0,44	0,43	0,30	0,31
17181275	0	0	0,35	0,23	0,34	0	0,46	0,48	0,50	0,44	0,34	0,30
17181375	0	0	0,25	0,25	0,44	0	0,61	0,41	0,53	0,48	0,25	0,36
17181475	0	0	0,23	0,93	0,56	0	0,59	0,46	0,58	0,49	0,28	0,31
17181575	0	0	0,25	0,40	0,44	0	0,34	0,34	0,50	0,39	0,24	0,28
17181675	0	0	0,36	0,24	0,51	0	0,37	0,37	0,52	0,49	0,25	0,30
17181775	0	0	0,39	0,24	0,54	0	0,42	0,37	0,51	0,37	0,22	0,31
17181875	0	0	0,28	0,25	0,44	0	0,39	0,38	0,56	0,42	0,23	0,29
17181975	0	0	0,37	0,41	0,51	0	0,48	0,35	0,51	0,50	0,23	0,29
17182075	0	0	0,31	1,14	0,49	0	0,46	0,46	0,45	0,39	0,24	0,32
17182175	0	0	0,49	0,32	0,38	0	0,39	0,61	0,38	0,54	0,26	0,32
17182275	0	0	0,23	0,23	0,44	0	0,55	0,48	0,45	0,51	0,34	0,28
17182375	0	0	0,43	0,69	0,48	0	0,49	0,53	0,53	0,45	0,23	0,25
17182475	0	0	0,45	0,29	0,56	0	0,47	0,41	0,51	0,51	0,33	0,36
17182575	0	0	0,34	0,27	0,46	0	0	0,53	0,51	0,46	0,27	0,29
17182675	0	0	0,45	0,24	0,53	0	0	0,38	0,51	0,48	0,28	0,43
17182775	0	0	0,35	0,41	0,45	0	0	0,46	0,52	0,45	0,25	0,31
17182875	0	0	0,32	0,83	0,42	0	0	0,52	0,47	0,47	0,24	0,28
17182976	0	0	0,38	0,26	0,47	0	0	0,40	0,41	0,46	0,24	0,24
17183076	0	0	0,37	0,31	0,60	0	0	0,34	0,46	0,47	0,30	0,35
17183176	0	0	0,41	0,30	0,53	0	0,48	0,34	0,48	0,48	0,23	0,32
17183276	0	0	0,43	0,58	0,51	0	0,55	0,46	0,51	0,49	0,26	0,32
17183376	0	0	0,48	0,52	0,47	0	0,47	0,48	0,52	0,48	0,31	0,31
17183476	0	0	0,63	0,30	0,50	0	0,36	0,48	0,51	0,46	0,25	0,32
17183576	0	0	0,28	0,30	0,39	0	0,49	0,43	0,53	0,43	0,26	0,30
17183676	0	0	0,45	0,72	0,37	0	0,52	0,57	0,51	0,51	0,28	0,30
17183776	0	0	0,40	0,53	0,57	0	0,42	0,62	0,50	0,51	0,24	0,30
17183876	0	0	0,35	0,59	0,52	0	0,39	0,65	0,52	0,51	0,26	0,24
17183977	0	0	0,32	0,68	0,51	0	0,50	0,62	0,52	0,57	0,26	0,27
17184077	0	0	0,38	0,67	0,60	0	0,43	0,58	0,47	0,56	0,28	0,40
17184177	0	0	0,56	0,91	0,80	0	0,47	0,64	0,41	0,52	0,33	0,51
17184277	0	0	0,60	1,29	0,74	0	0,43	0,54	0,45	0,37	0,31	0,47
17184377	0	0	0,56	1,38	0,80	0	0,51	0,61	0,46	0,47	0,35	0,47
17184477	0	0	0,41	0,71	0,59	0	0,41	0,82	0,44	0,30	0,24	0,27
17184577	0	0	0,43	0,69	0,68	0	0,50	0,62	0,37	0,51	0,26	0,32
17184677	0	0	0,39	0,33	0,63	0	0,47	0,58	0,44	0,43	0,26	0,29
17184777	0	0	0,50	0,60	0,72	0	0,47	0,70	0,39	0,32	0,25	0,32
17184877	0	0	0,56	0,96	0,68	0	0,47	0,72	0,51	0,51	0,25	0,37
17184977	0	0	0,39	0,67	0,58	0	0,57	0,79	0,43	0,50	0,35	0,26
17185077	0	0	0,38	0,81	0,45	0	0,39	0,76	0,49	0,39	0,33	0,28
17185177	0	0	0,38	0,76	0,67	0	0,42	0,48	0,48	0,51	0,31	0,33
17185277	0	0	0,57	0,42	0,48	0	0,43	0,69	0,49	0,40	0,23	0,39
17185376	0	0	0,41	0,41	0,55	0	0,49	0,67	0,53	0,36	0,25	0,28
17185476	0	0	0,38	0,27	0,55	0	0,59	0,51	0,56	0,40	0,30	0,33
17185576	0	0	0,43	0,55	0,67	0	0,48	0,74	0,54	0,31	0,29	0,31
17185676	0	0	0,47	0,55	0,55	0	0,57	0,68	0,56	0,31	0,23	0,34
17185776	0	0	0,45	0,61	0,36	0	0,43	0,72	0,45	0,39	0,28	0,25
17185876	0	0	0,36	0,63	0,60	0	0,45	0,54	0,49	0,49	0,25	0,28
17185976	0	0	0,29	0,57	0,56	0	0,50	0,45	0,50	0,44	0,35	0,27
17186076	0	0	0,26	0,47	0,56	0	0,52	0,39	0,39	0,45	0,24	0,29
17186176	0	0	0,24	0,59	0,57	0	0,43	0,35	0,47	0,52	0,34	0,28
17186276	0	0	0,28	0,60	0,48	0	0,44	0,32	0,46	0,50	0,31	0,30
17186376	0	0	0,22	0,66	0,49	0	0,51	0,36	0,47	0,45	0,23	0,28
17186476	0	0	0,31	0,93	0,46	0	0,46	0,49	0,40	0,60	0,25	0,30
17186576	0	0	0,38	0,62	0,62	0	0,49	0,33	0,45	0,56	0,29	0,28
17186676	0	0	0,35	0,52	0,63	0	0,41	0,30	0,44	0,56	0,20	0,31
17186776	0	0	0,34	0,55	0,74	0	0,45	0,35	0,52	0,50	0,26	0,30
17186876	0	0	0,59	0,44	0,62	0	0,31	0,42	0,52	0,41	0,22	0,36
17186976	0	0	0,39	0,46	0,58	0	0,41	0,48	0,52	0,46	0,32	0,35
17187076	0	0	0,39	0,28	0,59	0	0,50	0,60	0,49	0,49	0,33	0,33
17187176	0	0	0,34	0,48	0,61	0	0,47	0,47	0,51	0,40	0,21	0,29
17187276	0	0	0,34	0,50	0,57	0	0,51	0,54	0,35	0,49	0,21	0,35
17187376	0	0	0,34	0,37	0,55	0	0,37	0,48	0,49	0,51	0,23	0,33
17187476	0	0	0,34	0,46	0,60	0	0,39	0,51	0,53	0,50	0,32	0,33
17187576	0	0	0,31	0,47	0,45	0	0,43	0,59	0,51	0,50	0,28	0,28
17187676	0	0	0,37	0,34	0,67	0	0,43	0,59	0,49	0,49	0,22	0,31
